"GEOID","af.am","am.ind","asian","hispanic","median.gross.rent","median.household.income","multiple","nh.pi","other","population","rent.burden","white","checkTot","pct.white","pct.af.am","pct.hispanic","pct.am.ind","pct.asian","pct.nh.pi","pct.multiple","pct.other","year"
"51001",9503,69,255,3042,884,50601,543,0,44,33388,27.4,19932,33388,0.596980951239966,0.284623217922607,0.0911105786510123,0.0020666107583563,0.00763747454175153,0,0.0162633281418474,0.00131783874445909,2021
"51003",9712,324,6174,6537,1434,90568,3294,61,213,111438,28.6,85123,111438,0.763859724689962,0.0871515999928211,0.0586604210412965,0.00290744629300598,0.0554030043611694,0.000547389579856063,0.0295590373122274,0.00191137672966134,2021
"51005",847,0,4,240,606,49705,208,0,40,15266,27.4,13927,15266,0.91228874623346,0.0554827721734574,0.0157212105332111,0,0.000262020175553518,0,0.0136250491287829,0.00262020175553518,2021
"51007",2914,0,1,437,1005,57420,175,0,0,13220,30.7,9693,13220,0.73320726172466,0.220423600605144,0.0330559757942511,0,7.5642965204236e-05,0,0.0132375189107413,0,2021
"51009",5817,251,219,814,752,60876,726,18,236,31381,28.3,23300,31381,0.742487492431726,0.185366941780058,0.0259392626111341,0.00799847041203276,0.00697874510053854,0.000573595487715497,0.023135018004525,0.00752047417226985,2021
"51011",2906,6,28,319,743,55268,326,0,183,16039,28.6,12271,16039,0.765072635451088,0.18118336554648,0.0198890205125008,0.000374088160109733,0.00174574474717875,0,0.0203254566992955,0.0114096888833468,2021
"51013",21429,406,24010,36594,2094,128145,10160,103,1131,235764,25.3,141931,235764,0.602004546919801,0.0908917391968239,0.155214536570469,0.00172206104409494,0.101839127262856,0.000436877555521623,0.0430939413990261,0.00479717005140734,2021
"51015",3294,116,466,2498,950,69082,1327,67,225,76948,25.8,68955,76948,0.896124655611582,0.0428081301658263,0.0324634818318865,0.00150751156625253,0.00605603784373863,0.000870717887404481,0.0172454124863544,0.00292405260695535,2021
"51017",155,18,12,19,628,55807,0,0,0,4243,25.5,4039,4243,0.951920810747113,0.0365307565401838,0.00447796370492576,0.00424228140466651,0.00282818760311101,0,0,0,2021
"51019",4894,104,937,1984,893,70870,2257,0,311,79183,27.2,68696,79183,0.867559956051173,0.0618061957743455,0.0250558832072541,0.00131341323263832,0.0118333480671356,0,0.0285035929429297,0.0039276107245242,2021
"51021",285,0,5,57,702,54556,60,0,0,6278,39,5871,6278,0.935170436444728,0.0453966231283848,0.00907932462567697,0,0.000796431984708506,0,0.00955718381650207,0,2021
"51023",859,72,180,642,831,72941,920,75,6,33542,21.3,30788,33542,0.917893983662274,0.0256096833820285,0.0191401824578141,0.00214656251863336,0.00536640629658339,0.00223600262357641,0.027428298849204,0.000178880209886113,2021
"51025",8829,27,8,254,752,49597,402,0,0,16044,28.3,6524,16044,0.406631762652705,0.550299177262528,0.0158314634754425,0.00168287210172027,0.00049862877088008,0,0.025056095736724,0,2021
"51027",474,167,28,185,661,37093,249,0,46,20615,28.2,19466,20615,0.944263885520252,0.0229929662866845,0.00897404802328402,0.00810089740480233,0.00135823429541596,0,0.0120785835556634,0.00223138491389765,2021
"51029",5488,89,7,419,789,49841,494,0,35,16832,31.1,10300,16832,0.611929657794677,0.326045627376426,0.0248930608365019,0.00528754752851711,0.000415874524714829,0,0.0293488593155894,0.00207937262357414,2021
"51031",7902,114,523,1625,749,53918,1615,12,306,55656,26.5,43559,55656,0.782646974270519,0.141979301423027,0.0291972114417134,0.00204829667960328,0.00939701020554837,0.000215610176800345,0.0290175362943798,0.0054980595084088,2021
"51033",7862,116,318,1690,1058,76528,1191,0,221,30861,30.8,19463,30861,0.630666537053239,0.254755192637957,0.0547616733093549,0.00375878941058294,0.0103042675221153,0,0.0385923981724507,0.00716114189430025,2021
"51035",105,40,0,1154,585,45220,497,7,11,29123,25.6,27309,29123,0.937712460941524,0.00360539779555678,0.0396250386292621,0.00137348487449782,0,0.000240359853037118,0.0170655495656354,0.0003777083404869,2021
"51036",3016,399,23,141,829,59543,292,0,5,6817,35.2,2941,6817,0.43142144638404,0.442423353381253,0.0206835851547602,0.0585301452251724,0.00337391814581194,0,0.042834091242482,0.000733460466480857,2021
"51037",3103,0,41,283,664,45567,278,0,4,11605,31.6,7896,11605,0.680396380870315,0.267384747953468,0.0243860404997846,0,0.0035329599310642,0,0.0239551917277036,0.0003446790176648,2021
"51041",82453,582,12029,34175,1345,88315,12806,192,1605,359798,29.3,215956,359798,0.60021456483916,0.229164697969416,0.0949838520503171,0.00161757430558258,0.0334326483193347,0.000533632760604561,0.0355921933974063,0.00446083635817876,2021
"51043",709,0,219,909,1186,86633,326,0,43,14726,38.2,12520,14726,0.850196930598941,0.0481461360858346,0.0617275567024311,0,0.0148716555751732,0,0.0221377156050523,0.00292000543256825,2021
"51045",1,0,0,1,630,60283,187,0,0,4914,17.6,4725,4914,0.961538461538462,0.000203500203500203,0.000203500203500203,0,0,0,0.0380545380545381,0,2021
"51047",6700,146,461,6181,1290,85274,2595,65,218,52021,26.4,35655,52021,0.685396282270621,0.128794140827743,0.118817400665116,0.00280655888967917,0.00886180580919244,0.00124949539609004,0.0498837008131332,0.00419061532842506,2021
