"GEOID","af.am","am.ind","asian","hispanic","median.gross.rent","median.household.income","multiple","nh.pi","other","population","rent.burden","white","checkTot","pct.white","pct.af.am","pct.hispanic","pct.am.ind","pct.asian","pct.nh.pi","pct.multiple","pct.other","year"
"42001",1419,75,783,7551,973,72492,2056,5,195,103782,27,91698,103782,0.883563623749783,0.0136728912528184,0.0727582817829681,0.000722668670867781,0.00754466092385963,4.81779113911854e-05,0.0198107571640554,0.00187893854425623,2021
"42003",156053,976,48818,28312,962,66659,41869,262,5086,1246116,27.5,964740,1246116,0.774197586741523,0.125231519377008,0.0227201961936128,0.000783233663639661,0.039176128065124,0.000210253299050811,0.0335996006792305,0.00408148198081078,2021
"42005",627,11,205,565,719,56838,854,0,30,65967,24.9,63675,65967,0.965255354950202,0.00950475237618809,0.00856488850485849,0.00016675004168751,0.00310761441326724,0,0.0129458668728304,0.000454772840965938,2021
"42007",10028,74,828,3048,762,62152,5307,25,155,168260,26.7,148795,168260,0.884315939617259,0.059598240817782,0.0181148222988233,0.00043979555449899,0.00492095566385356,0.000148579579222632,0.0315404730773802,0.000921193391180316,2021
"42009",356,45,155,606,693,54596,600,0,50,47729,28.1,45917,47729,0.962035659661841,0.0074587776823315,0.0126966833581261,0.000942823021643026,0.00324750151899265,0,0.012570973621907,0.00104758113515892,2021
"42011",17352,230,5713,96549,985,69272,8271,57,1253,426967,29.1,297542,426967,0.696873528867571,0.0406401431492364,0.226127546156963,0.000538683317446079,0.0133804251850846,0.00013349977867142,0.019371520515637,0.00293465302939103,2021
"42013",1962,89,732,1617,757,54368,3016,10,144,123132,30.4,115562,123132,0.938521261735373,0.015934119481532,0.0131322483188773,0.000722801546308027,0.0059448396842413,8.12136568885424e-05,0.0244940389175844,0.00116947665919501,2021
"42015",394,38,351,919,754,54383,942,43,204,60233,25.7,57342,60233,0.952003054803845,0.00654126475520064,0.0152574170305314,0.000630883402785848,0.00582737037836402,0.000713894376836618,0.015639267511165,0.0033868477412714,2021
"42017",24054,343,30648,37055,1323,99302,17532,86,3030,643872,29.1,531124,643872,0.824890661497937,0.0373583569405099,0.0575502584364594,0.000532714576810298,0.0475995228865365,0.000133566920133194,0.0272290144625019,0.00470590427911138,2021
"42019",1831,46,2589,3199,908,77065,3620,31,444,192561,26.6,180801,192561,0.938928443454282,0.00950867517306204,0.016612917465115,0.000238885340229849,0.0134450901272843,0.000160987946676638,0.0187992376441751,0.00230576284917507,2021
"42021",4617,41,608,2363,657,51018,2769,23,317,134048,27.6,123310,134048,0.919894366197183,0.0344428861303414,0.0176280138457866,0.000305860587252328,0.00453568870852232,0.000171580329434233,0.0206567796610169,0.00236482454046312,2021
"42023",4,9,5,61,664,43615,201,0,0,4596,29.1,4316,4596,0.939077458659704,0.000870322019147084,0.013272410791993,0.00195822454308094,0.00108790252393386,0,0.043733681462141,0,2021
"42025",1042,75,342,3617,842,59289,1215,11,32,64792,27.1,58458,64792,0.902241017409557,0.0160822323743672,0.0558247931843437,0.00115755031485369,0.00527842943573281,0.000169774046178541,0.0187523151006297,0.000493888134337573,2021
"42027",5244,77,9888,4813,1043,64995,4198,12,110,158879,35.4,134537,158879,0.846789065892912,0.0330062500393381,0.0302934937908723,0.000484645547869763,0.0622360412641066,7.55291762913916e-05,0.0264226235059385,0.000692350782671089,2021
"42029",28267,205,32001,40280,1445,109969,14978,16,1003,531704,27.7,414954,531704,0.780422942088079,0.0531630380813385,0.0757564359117103,0.000385552863999519,0.0601857424431639,3.00919308487429e-05,0.0281698087657795,0.00188638791508057,2021
"42031",542,20,172,406,686,53096,649,0,3,37571,26.4,35779,37571,0.952303638444545,0.01442602006867,0.0108062069149078,0.00053232546378856,0.00457799898858162,0,0.0172739612999388,7.9848819568284e-05,2021
"42033",1954,86,423,2522,716,52826,1241,15,119,80667,28.7,74307,80667,0.92115735058946,0.0242230404006595,0.0312643336184561,0.00106611129706076,0.00524377998438023,0.000185949644836178,0.0153842339494465,0.00147520051570035,2021
"42035",443,119,280,645,768,53792,525,5,35,37824,26.8,35772,37824,0.945748730964467,0.0117121404399323,0.0170526649746193,0.00314615059221658,0.00740270727580372,0.000132191201353638,0.013880076142132,0.000925338409475465,2021
"42037",1025,16,672,2051,828,55572,919,206,60,65013,27.1,60064,65013,0.923876763108917,0.01576607755372,0.0315475366465168,0.0002461046252288,0.0103363942596096,0.00316859704982081,0.0141356344115792,0.000922892344608001,2021
"42039",1286,40,480,1215,693,55042,1648,14,227,84495,25.9,79585,84495,0.941890052665838,0.0152198354932245,0.0143795490857447,0.000473400792946328,0.00568080951535594,0.000165690277531215,0.0195041126693887,0.00268654949997041,2021
"42041",10054,89,12194,11370,1060,77001,7142,19,497,257333,26.6,215968,257333,0.839254973128204,0.0390699987953352,0.0441839950569884,0.000345855370278977,0.0473860717436162,7.3834292531467e-05,0.0277539219610388,0.00193134965200732,2021
"42043",49677,386,14566,28739,1014,66480,8568,29,1149,284199,26.8,181085,284199,0.637176766983698,0.174796533414966,0.101122804795232,0.00135820323083473,0.0512528193273023,0.000102041175373594,0.0301478893310673,0.00404294174152618,2021
"42045",122917,459,34213,23944,1166,80398,16771,182,1907,573883,30.9,373490,573883,0.650812099330351,0.214184772854397,0.0417227901854559,0.000799814596355006,0.0596166814490062,0.000317137813805253,0.0292237267875159,0.00332297698311328,2021
"42047",198,26,114,265,657,57551,561,0,0,31037,25.8,29873,31037,0.962496375294004,0.00637948255308181,0.00853819634629636,0.000837709830202661,0.00367303540935013,0,0.0180752005670651,0,2021
"42049",18138,450,5081,12408,787,55949,8761,40,1065,271903,29.4,225960,271903,0.831031654670967,0.0667076126412728,0.0456339209203282,0.00165500196761345,0.018686811105431,0.000147111286010084,0.0322210494183588,0.0039168379900185,2021
"42051",5372,26,568,1724,717,51321,3784,103,293,129443,28.2,117573,129443,0.908299405916117,0.0415008922846349,0.0133186035552328,0.000200860610461748,0.00438803179777972,0.000795717033752308,0.029232944230279,0.002263544571742,2021
"42053",1263,0,120,380,552,43958,228,0,5,7121,25.3,5125,7121,0.719702289004353,0.177362729953658,0.0533632916725179,0,0.0168515657913214,0,0.0320179750035107,0.000702148574638393,2021
"42055",5305,54,1186,9760,942,66329,4442,0,166,155592,26.4,134679,155592,0.865590775875366,0.0340955833204792,0.062728160830891,0.00034706154558075,0.00762249987145869,0,0.0285490256568461,0.00106689289937786,2021
"42057",184,7,53,191,713,58343,201,0,91,14529,21.8,13802,14529,0.949962144676165,0.012664326519375,0.0131461215500034,0.000481795030628398,0.00364787666047216,0,0.0138344001651869,0.00626333539816918,2021
"42059",1075,0,132,575,720,57497,977,0,71,36248,24.8,33418,36248,0.921926726991834,0.0296568086515118,0.0158629441624365,0,0.00364158022511587,0,0.0269532112116531,0.00195872875744869,2021
"42061",2229,71,168,919,716,57055,1127,1,18,44458,25.6,39925,44458,0.898038598227541,0.0501372081515138,0.0206711952854379,0.00159701291106213,0.00377884745152728,2.24931395924243e-05,0.0253497683206622,0.000404876512663638,2021
"42063",1790,45,825,1177,734,52546,1934,4,162,83620,28.8,77683,83620,0.92900023917723,0.0214063621143267,0.0140755800047835,0.000538148768237264,0.0098660607510165,4.78354460655346e-05,0.023128438172686,0.00193733556565415,2021
"42065",190,21,118,439,711,52815,688,0,104,44491,27.5,42931,44491,0.964936728776607,0.00427052662336203,0.00986716414555753,0.000472005574161066,0.00265222179766694,0,0.015463801667753,0.0023375514148929,2021
"42067",273,0,119,951,672,56382,216,0,12,23607,22.4,22036,23607,0.933451942220528,0.0115643665014614,0.0402846613292667,0,0.00504087770576524,0,0.00914982844071674,0.000508323802262041,2021
"42069",5607,86,6206,18441,844,58366,5497,132,485,215529,27.8,179075,215529,0.830862668132827,0.0260150606182927,0.0855615717606447,0.000399018229565395,0.0287942689846842,0.000612446584914327,0.0255046884641974,0.00225027722487461,2021
"42071",18244,246,12846,60859,1114,73688,12059,98,1641,550480,28,444487,550480,0.807453495131522,0.0331419851765732,0.110556241825316,0.000446882720534806,0.0233359976747566,0.000178026449643947,0.0219063362883302,0.00298103473332364,2021
"42073",3083,19,210,1419,731,53106,3063,0,106,86311,31,78411,86311,0.90847053098678,0.0357196649326274,0.016440546396172,0.000220134165981161,0.00243306183452862,0,0.0354879447579103,0.00122811692600016,2021
"42075",2728,27,2078,20064,925,66164,2551,16,350,142486,28.9,114672,142486,0.804794857038586,0.0191457406341676,0.14081383434162,0.000189492300997993,0.0145838889434751,0.000112291733924736,0.0179035133276252,0.00245638167960361,2021
"42077",21484,241,12295,98142,1156,69440,8618,102,1060,372492,30.7,230550,372492,0.618939467156342,0.0576764064731592,0.26347411488032,0.000646993760939832,0.0330074202935902,0.000273831384298186,0.0231360673517821,0.00284569869956939,2021
"42079",12703,242,3683,45399,824,56534,6602,72,418,324825,27.1,255706,324825,0.787211575463711,0.0391072115754637,0.139764488570769,0.000745016547371662,0.0113384129916109,0.000221657815746941,0.0203247902716848,0.00128684676364196,2021
"42081",5468,137,935,2485,834,58177,3174,58,98,114274,28.6,101919,114274,0.891882667973467,0.0478499046152231,0.0217459789628437,0.00119887288447066,0.00818208866408807,0.000507552024082468,0.0277753469730647,0.000857587902760033,2021
"42083",914,21,156,935,690,52350,824,17,121,40652,27.4,37664,40652,0.926498081275214,0.0224835186460691,0.0230000983961429,0.000516579750073797,0.00383744957197678,0.000418183607202598,0.0202696054314671,0.00297648332185378,2021
