"GEOID","af.am","am.ind","asian","hispanic","median.gross.rent","median.household.income","multiple","nh.pi","other","population","rent.burden","white","checkTot","pct.white","pct.af.am","pct.hispanic","pct.am.ind","pct.asian","pct.nh.pi","pct.multiple","pct.other","year"
"24001",5723,81,590,1340,719,51090,1540,4,109,68684,29.7,59297,68684,0.863330615572768,0.0833236270456001,0.0195096383437191,0.00117931395958302,0.0085900646438763,5.82377263991614e-05,0.0224215246636771,0.00158697804437715,2021
"24003",97133,669,22643,48638,1764,108048,26750,284,2164,584064,28.9,385783,584064,0.660514943567828,0.166305404887136,0.0832751205347359,0.00114542241946088,0.0387680117247425,0.000486248082401929,0.0457997753670831,0.00370507341661188,2021
"24005",247318,1434,51841,49211,1387,81846,26353,351,3296,850702,31.1,470898,850702,0.553540487738362,0.290722250564828,0.0578475188726487,0.001685666661181,0.0609390832512443,0.000412600417067316,0.030977945273433,0.00387444722123611,2021
"24009",11316,80,1951,4018,1526,120295,4140,33,205,92515,28.9,70772,92515,0.764978652110469,0.122315300221586,0.0434307950062152,0.00086472463924769,0.021088472139653,0.000356698913689672,0.0447495000810679,0.0022158568880722,2021
"24011",4318,23,186,2557,1026,63027,1303,0,123,33234,32,24724,33234,0.743936932057531,0.129927183005356,0.0769392790515737,0.000692062345790456,0.00559667810074021,0,0.0392068363723897,0.00370102906661852,2021
"24013",6161,314,3752,6691,1228,104708,3706,28,554,172148,27.9,150942,172148,0.876815298464112,0.0357889722796663,0.0388677184748007,0.00182401189674001,0.0217951994795176,0.00016265074238446,0.0215279875456003,0.00321816111717824,2021
"24015",6526,94,1454,4842,1202,81817,3720,36,67,103370,30,86631,103370,0.83806713746735,0.0631324368772371,0.0468414433588082,0.000909354745090452,0.0140659765889523,0.000348263519396343,0.0359872303376221,0.000648157105543194,2021
"24017",77940,741,5481,10524,1725,107808,8532,35,809,165209,29.1,61147,165209,0.370119061310219,0.471766066013353,0.0637011300837121,0.00448522780235944,0.0331761586838489,0.000211852865158678,0.0516436755866811,0.00489682765466772,2021
"24019",8207,3,429,1923,878,55652,1607,0,58,32486,31.8,20259,32486,0.623622483531367,0.252631902973589,0.0591947300375546,9.23474727574955e-05,0.0132056886043219,0,0.0494674629070984,0.00178538447331158,2021
"24021",25064,342,12296,27867,1503,106129,10812,98,639,267498,28.9,190380,267498,0.711706255747707,0.0936978968067051,0.104176479824148,0.00127851423188211,0.0459666988164397,0.000366357879311247,0.0404189937868694,0.00238880290693762,2021
"24023",397,13,135,352,637,58011,243,11,61,28955,24.4,27743,28955,0.958141944396477,0.0137109307546192,0.0121567950267657,0.000448972543602141,0.0046624071835607,0.000379899844586427,0.00839233293040926,0.00210671731997928,2021
"24025",35720,216,7410,12396,1355,98495,8679,78,1187,259162,27.8,193476,259162,0.746544632314923,0.137828848365115,0.0478310863475355,0.000833455522028692,0.0285921547140399,0.000300970049621472,0.0334887059059584,0.00458014678077805,2021
"24027",62637,542,61608,23819,1790,129549,15220,195,1748,329248,28.1,163479,329248,0.496522378268053,0.190242613470697,0.0723436436971523,0.00164617552726212,0.187117309748275,0.00059225872290796,0.0462265526290213,0.00530906793663135,2021
"24029",2683,8,201,900,1025,64451,546,1,52,19335,37.5,14944,19335,0.772898888026894,0.138763899663822,0.0465477114041893,0.000413757434703905,0.0103956555469356,5.17196793379881e-05,0.0282389449185415,0.00268942332557538,2021
"24031",190282,1450,159466,208216,1844,117345,41741,333,8030,1057201,30.3,447683,1057201,0.423460628584347,0.179986587224189,0.196950248817396,0.00137154618658136,0.150837920130609,0.000314982675952823,0.0394825581890293,0.00759552819189539,2021
"24033",581432,2001,39985,185394,1593,91124,28187,316,4827,957767,30.9,115625,957767,0.120723516262306,0.607070404388541,0.193568999558348,0.00208923464683999,0.0417481496021475,0.000329934107147145,0.0294299135384702,0.00503984789620022,2021
"24035",2813,14,549,2142,1550,99597,1956,0,77,49702,32.5,42151,49702,0.848074524164018,0.0565973200273631,0.0430968572693252,0.000281678805681864,0.0110458331656674,0,0.0393545531366947,0.00154923343125025,2021
"24037",15806,45,2825,6186,1492,102859,5622,22,390,113209,26.4,82313,113209,0.727088835693275,0.139617874903939,0.0546422987571659,0.000397494898815465,0.0249538464256375,0.000194330839420894,0.0496603626920121,0.00344495578973403,2021
"24039",9905,43,229,948,839,48661,926,0,5,24834,37.4,12778,24834,0.514536522509463,0.398848353064347,0.0381734718531046,0.00173149714101635,0.00922122896029637,0,0.0372875895949102,0.000201336876862366,2021
"24041",4189,47,474,2647,1195,79349,1203,0,100,37510,28.6,28850,37510,0.769128232471341,0.11167688616369,0.0705678485737137,0.00125299920021328,0.0126366302319382,0,0.0320714476139696,0.00266595574513463,2021
"24043",16568,152,2742,8862,979,67349,6296,120,343,153956,28.8,118873,153956,0.772123204032321,0.10761516277378,0.0575619008028268,0.000987295071319078,0.0178102834576113,0.000779443477357167,0.040894801112006,0.00222790927277924,2021
"24045",26826,92,3002,5695,1105,63610,3873,26,225,103223,29.3,63484,103223,0.615017970801081,0.259883940594635,0.0551718124836519,0.000891274231518169,0.0290826656849733,0.000251881848037744,0.0375207075942377,0.00217974676186509,2021
"24047",6357,30,708,1943,1068,71262,1453,0,216,52322,32.6,41615,52322,0.795363327089943,0.121497649172432,0.0371354306028057,0.00057337257750086,0.0135315928290203,0,0.0277703451702917,0.00412828255800619,2021
"24510",360899,1223,14763,33246,1146,54124,17523,131,2466,592211,31,161960,592211,0.273483606349764,0.60940948411968,0.0561387748623379,0.00206514232258435,0.0249286149700022,0.000221204942157441,0.0295891160414109,0.00416405639206296,2021
